rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,SMT,data\a1,XGBRegressor,4,41.12658856115457,fixed_params
0.84,SMT,data\a1,XGBRegressor,5,45.958633073512495,fixed_params
0.84,SMT,data\a1,XGBRegressor,6,1970.4851813245803,fixed_params
0.84,SMT,data\a1,XGBRegressor,7,25.89694796534999,fixed_params
0.84,SMT,data\a1,XGBRegressor,8,6872.374311055945,fixed_params
0.84,SMT,data\a1,XGBRegressor,9,5441.155685302505,fixed_params
0.84,SMT,data\a1,XGBRegressor,10,2503.1776145577696,fixed_params
0.84,SMT,data\a1,XGBRegressor,11,1119.8703405617325,fixed_params
0.84,SMT,data\a1,XGBRegressor,12,2445.8082343687392,fixed_params
0.84,SMT,data\a1,XGBRegressor,13,52.06807499586035,fixed_params
0.84,SMT,data\a1,XGBRegressor,14,36.6164813203755,fixed_params
0.84,SMT,data\a1,XGBRegressor,15,42.46621119616036,fixed_params
0.84,SMT,data\a1,XGBRegressor,16,2937.1842497938383,fixed_params
0.84,SMT,data\a1,XGBRegressor,17,729.7781357906852,fixed_params
0.84,SMT,data\a1,XGBRegressor,18,5167.38011974366,fixed_params
0.84,SMT,data\a1,XGBRegressor,19,4696.0713969490325,fixed_params
0.84,RO,data\a1,BaggingRegressor,0,41.863807500000014,fixed_params
0.84,RO,data\a1,BaggingRegressor,1,2568.1164280000007,fixed_params
0.84,RO,data\a1,BaggingRegressor,2,4637.366254500001,fixed_params
0.84,RO,data\a1,BaggingRegressor,3,409.6492305,fixed_params
0.84,RO,data\a1,BaggingRegressor,4,36.52801149999999,fixed_params
0.84,RO,data\a1,BaggingRegressor,5,38.813469,fixed_params
0.84,RO,data\a1,BaggingRegressor,6,1435.7329289999998,fixed_params
0.84,RO,data\a1,BaggingRegressor,7,19.664291500000008,fixed_params
0.84,RO,data\a1,BaggingRegressor,8,5876.523238,fixed_params
0.84,RO,data\a1,BaggingRegressor,9,5362.394829999998,fixed_params
0.84,RO,data\a1,BaggingRegressor,10,1976.1590225000004,fixed_params
0.84,RO,data\a1,BaggingRegressor,11,1870.5080709999993,fixed_params
0.84,RO,data\a1,BaggingRegressor,12,3347.3734659999996,fixed_params
0.84,RO,data\a1,BaggingRegressor,13,53.153221499999994,fixed_params
0.84,RO,data\a1,BaggingRegressor,14,51.282845,fixed_params
0.84,RO,data\a1,BaggingRegressor,15,45.519901,fixed_params
0.84,RO,data\a1,BaggingRegressor,16,3121.536534,fixed_params
0.84,RO,data\a1,BaggingRegressor,17,217.4952965,fixed_params
0.84,RO,data\a1,BaggingRegressor,18,4147.2732515,fixed_params
0.84,RO,data\a1,BaggingRegressor,19,3486.890301000001,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,0,89.99334999999999,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,1,3959.8064000000004,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,2,4659.68725,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,3,1705.9908,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,4,46.6391,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,5,75.9438,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,6,2508.5996,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,7,41.69145,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,8,4133.00745,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,9,9903.748050000002,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,10,6477.622450000001,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,11,4398.8149,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,12,8318.79955,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,13,69.198,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,14,107.04420000000002,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,15,77.41089999999998,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,16,3659.3036000000006,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,17,2111.88625,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,18,4508.319299999999,fixed_params
0.84,RO,data\a1,DecisionTreeRegressor,19,4664.317350000001,fixed_params
0.84,RO,data\a1,MLPRegressor,0,167950.6137867022,fixed_params
0.84,RO,data\a1,MLPRegressor,1,4725950.092939083,fixed_params
0.84,RO,data\a1,MLPRegressor,2,204886.38055158898,fixed_params
0.84,RO,data\a1,MLPRegressor,3,203199.3049525748,fixed_params
0.84,RO,data\a1,MLPRegressor,4,10180.11775644854,fixed_params
0.84,RO,data\a1,MLPRegressor,5,19484.778729845857,fixed_params
0.84,RO,data\a1,MLPRegressor,6,53699.9450281558,fixed_params
0.84,RO,data\a1,MLPRegressor,7,15532.640971963394,fixed_params
0.84,RO,data\a1,MLPRegressor,8,21951.857905838177,fixed_params
0.84,RO,data\a1,MLPRegressor,9,165562.84925688035,fixed_params
0.84,RO,data\a1,MLPRegressor,10,626779.8282887018,fixed_params
0.84,RO,data\a1,MLPRegressor,11,338732.403836902,fixed_params
0.84,RO,data\a1,MLPRegressor,12,17071.489028061562,fixed_params
0.84,RO,data\a1,MLPRegressor,13,22845.071677529548,fixed_params
0.84,RO,data\a1,MLPRegressor,14,13805.405476001886,fixed_params
0.84,RO,data\a1,MLPRegressor,15,3703.4192873779148,fixed_params
0.84,RO,data\a1,MLPRegressor,16,516869.02070899185,fixed_params
0.84,RO,data\a1,MLPRegressor,17,92294.64407323793,fixed_params
0.84,RO,data\a1,MLPRegressor,18,978058.7942376921,fixed_params
0.84,RO,data\a1,MLPRegressor,19,243359.25943137985,fixed_params
0.84,RO,data\a1,RandomForestRegressor,0,38.14196536000001,fixed_params
0.84,RO,data\a1,RandomForestRegressor,1,2122.664811760001,fixed_params
0.84,RO,data\a1,RandomForestRegressor,2,3346.9274007449994,fixed_params
0.84,RO,data\a1,RandomForestRegressor,3,621.35541692,fixed_params
